from	to	owner	rationale	removal_condition	expiry_packet
core/capability/agent	core/capability/document	omega-004	Agent is the sanctioned application-composition tier and its document editor port deliberately speaks canonical document value types	Agent-owned translated DTOs replace the document model without duplicating or weakening it	omega-015
core/capability/agent	core/capability/intelligence	omega-004	Agent ports use provider-neutral cast, tool, and usage value types owned by Intelligence	Application-level model DTOs become stable without duplicating the provider-neutral contract	omega-015
core/capability/agent	core/capability/knowledge	omega-004	Agent retrieval ports use Knowledge evidence and citation value types	Retrieval application DTOs replace the Knowledge types without losing citation identity	omega-015
core/capability/agent	core/capability/notification	omega-004	Notification directly satisfies Agent's narrow completion notifier port	A wiring adapter becomes necessary because notifier behavior or translation diverges	omega-014
core/capability/agent	core/capability/persona	omega-004	Agent snapshots Persona value types through an Agent-owned resolver port	Agent owns a stable snapshot DTO and wiring translates Persona into it	omega-015
core/capability/formula/names	core/capability/formula	omega-004	The stateful names manager is an intentional layer over the pure Formula library	Formula evaluation is exposed through a capability-neutral application port	omega-021
core/capability/knowledge	core/capability/intelligence	omega-004	Knowledge's legacy search-tool adapter publishes provider-neutral ToolBinding and ToolError value types	Search tool construction moves fully to Agent or application wiring	omega-015
core/capability/resource	core/capability/intelligence	omega-004	Resource's exact-read tool adapter publishes provider-neutral ToolBinding and ToolError value types	Resource tool construction moves fully to Agent or application wiring	omega-015
core/capability/agent	core/platform/job	omega-004	Agent currently uses the durable queue's Enqueuer and Job receipt types behind a narrow field	Durable jobs adopt the actor-aware Project job envelope and an Agent-owned enqueue port	omega-014
core/capability/connector	core/platform/dispatch	omega-004	Connector uses the bounded reference-counted keyed mutex as a stable in-process synchronization primitive	A Connector-owned synchronizer port is injected by composition	omega-015
core/capability/connector	core/platform/logging	omega-004	Connector uses the process-neutral leveled Logger port and receives its adapter from wiring	A Connector-owned observer port replaces narration or logging moves behind telemetry	omega-015
core/capability/document	core/platform/job	omega-004	Document currently schedules rebase and resolve through the durable queue Enqueuer port	Document owns an enqueue receipt contract translated by wiring	omega-014
core/capability/knowledge	core/platform/job	omega-004	Knowledge currently schedules corpus rebuilding through the durable queue Enqueuer port	Knowledge owns an enqueue receipt contract translated by wiring	omega-014
core/capability/knowledge	core/platform/logging	omega-004	Knowledge uses the process-neutral leveled Logger port and receives its adapter from wiring	A Knowledge-owned rebuild observer replaces narration or logging moves behind telemetry	omega-015
core/capability/connector	io/fs	omega-004	The local-folder Provider adapter remains co-located temporarily while its streaming behavior is stabilized	The local-folder implementation and tests move under core/integration/connector	omega-015
core/capability/connector	net/http	omega-004	The HTTP watcher Provider adapter remains co-located temporarily while its point-read protocol is stabilized	The watcher client implementation and tests move under core/integration/connector	omega-015
core/capability/connector	os	omega-004	The local-folder Provider adapter performs bounded filesystem access inside the Connector package	The local-folder implementation and tests move under core/integration/connector	omega-015
core/capability/connector	path/filepath	omega-004	The local-folder Provider adapter resolves and confines provider paths inside the Connector package	The local-folder implementation and tests move under core/integration/connector	omega-015
